OBJECTID,CSA2010,read810,read811,read812,read813,read814,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,45.0892857142857,54.39,62.37,60.4395604395604,50,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,56.6666666666667,77,66.67,75.2380952380952,61.2903225806451,37524.9505333862,47882527.7112373
3,Belair-Edison,57.2953736654804,65.57,57.54,60.7929515418502,48.4162895927601,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,56.25,68.1,62.83,60.2836879432624,46.979865771812,150987.70363871,176077742.748461
5,Canton,88.8888888888889,75,72.73,80,83.3333333333333,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,52.1551724137931,59.51,53.62,65,56.1085972850678,39962.5498346887,71541340.306082
7,Cherry Hill,54.9019607843137,57.01,45.87,47.1544715447154,40.7079646017699,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,42.4242424242424,51.67,59.7,66.6666666666667,62.5,21705.411630324,21022590.1303212
9,Claremont/Armistead,56.1797752808989,60.76,67.57,66.2790697674419,60.8695652173913,40104.4159801772,61243774.4204004
10,Clifton-Berea,42.7672955974843,53.91,43.94,47.3684210526316,45.5357142857142,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,72.2222222222222,76.47,89.47,78.3783783783784,84.8484848484848,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,48.936170212766,70.73,52,68.9655172413793,52.9411764705882,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,60.1694915254237,61.82,59.05,59.5959595959596,62.9213483146067,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,52.9411764705882,37.5,55.56,57.8947368421053,66.6666666666666,21565.8593945388,20736554.4071934
15,Edmondson Village,57.4257425742574,52.33,50,53,48.2758620689655,21504.5513578719,23563061.0426838
16,Fells Point,76.1904761904762,57.14,72.73,80.9523809523809,70.5882352941176,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,47.1074380165289,63.86,55.26,61.5384615384615,56.9892473118279,36886.899781185,37200535.0297002
18,Glen-Fallstaff,60.1941747572816,69.64,63.92,71.2871287128713,66.6666666666666,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,53.1645569620253,68,71.15,72.2222222222222,61.5384615384615,26454.2692113378,27051213.4555493
20,Greater Govans,64.3410852713178,61.54,59.8,65.0406504065041,50,22982.1257150065,22698495.7172767
21,Greater Mondawmin,44.7619047619048,52.33,55.67,55.7894736842105,51.2195121951219,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,80,85.19,92.31,85.1851851851852,94.2857142857142,39862.7497953315,56688145.179702
23,Greater Rosemont,49.7991967871486,56.02,53.15,58.2375478927203,50.6912442396313,32559.0762212062,42204384.5422658
24,Greenmount East,48.0916030534351,49.44,51.49,51.3761467889908,44.776119402985,20797.473457859,19072287.8238042
25,Hamilton,65.8333333333333,69.3,63.31,73.8805970149254,65.3543307086614,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,34.2105263157895,63.04,54.35,64.5833333333333,55.1020408163265,18552.4075815481,10215859.0840198
27,Harford/Echodale,63.9455782312925,72,73.15,68.3098591549296,61.0687022900763,40019.1854001864,65360039.1701278
28,Highlandtown,73.1707317073171,60.71,70.59,68.1818181818182,63.4146341463414,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,55.4347826086957,57.97,60,71.25,62.0689655172413,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,76.6666666666667,61.54,53.13,60,57.1428571428571,43415.0595477941,24995836.2620936
31,Lauraville,53.781512605042,74.74,64.08,71.8446601941748,70.8333333333333,34419.6765281197,49665744.2382935
32,Loch Raven,52.8735632183908,62.86,69.44,67.7165354330709,61.1570247933884,29314.3346718106,44147812.3259686
33,Madison/East End,42.4390243902439,45.05,53.17,47.6635514018692,49.0384615384615,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,69.5652173913043,74.73,73.79,80,75.6756756756756,43152.6256992199,62441489.2397897
35,Midtown,41.8604651162791,60,82.35,75,60.6060606060606,25020.0969697781,23823949.929494
36,Midway/Coldstream,47.244094488189,61.68,60.55,51.4084507042254,47.8260869565217,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,56.989247311828,72.31,62.16,78.2051282051282,72.0588235294117,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,60.7142857142857,76.92,90.91,93.3333333333333,84,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,53.8461538461538,91.67,87.5,94.5454545454545,90.4761904761904,42904.2221443837,74923987.6939622
40,Northwood,50.7575757575758,69.23,72.55,69.4915254237288,52.892561983471,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,37.962962962963,46.15,52.73,57.0175438596491,47.5247524752475,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,41.4634146341463,67.07,52.56,66.6666666666667,57.6271186440677,47825.8629265765,89894372.2114828
43,Patterson Park North & East,49.7560975609756,62.5,56.52,64.7058823529412,50,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,49.4736842105263,49.5,47.66,58.8235294117647,44.5544554455445,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,54.2483660130719,60.31,59.02,62.406015037594,59.4202898550724,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,50,50,52.54,52.8301886792453,48.1481481481481,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,39.6039603960396,49.03,47.17,49.4047619047619,44.4444444444444,20987.1433066415,23672092.8680536
48,South Baltimore,75,83.33,80,82.3529411764706,85,68440.0258267645,46353935.42529
49,Southeastern,73.2142857142857,75.56,69.77,54.5454545454545,57.4468085106382,102291.480547452,111251478.472831
50,Southern Park Heights,52.027027027027,62.31,49.64,73.2758620689655,53.9007092198581,24052.2213722085,27876227.5906738
51,Southwest Baltimore,42.4603174603175,60,48.09,54.6728971962617,51.595744680851,28355.5635813649,37766068.8367913
52,The Waverlies,51.25,64.13,76.25,60.9756097560976,42.2535211267605,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,38.6363636363636,43.44,37.14,39.3700787401575,42.1487603305785,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,52,66.67,68.75,55.1020408163265,50.8196721311475,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,53,65.22,62.07,65.5555555555556,44.2105263157894,42573.1244161893,45494092.9497963
